"responseID","sentenceID","rating"
"R_1QrPZeQyES4UoVv","1002","1"
"R_1eXh9IiyrcE0Ldx","1002","2"
"R_1cZocwOyO1xImVO","1002","2"
"R_3mcDGaoyIlSjqMh","1002","4"
"R_1Leuq0B7ust7Lzq","1002","1"
"R_2bJ3lrpNqlGMtGx","1002","3"
"R_OfDlNUvn53OKPux","1002","1"
"R_vNzXwB9LVPIIPrH","1002","4"
"R_qxSjtmhNFfyfqKJ","1002","2"
"R_3nkEXR2lsBUHukN","1002","2"
"R_2bW4g2kQAI0nlxA","1002","3"
"R_3Nw8UmjTNYtlgMf","1002","3"
"R_9EW4Z1Vllqbm5Ut","1002","2"
"R_31iQ5oanH0vE6tw","1002","2"
"R_3mfB1mQFhI5vNQW","1002","2"
"R_2QtUtj5SQABAYVa","1002","1"
"R_25sYRVZv69vOJeF","1002","2"
"R_3KTpYivJb9o7Poh","1002","1"
"R_ZI7f7BEMwtkOI25","1002","3"
"R_2DOoaoKK5kkWZ8G","1002","3"
"R_1PStcW1C8miVoNu","1002","5"
"R_1LXRNx9OenYnG6E","1002","2"
"R_129ojI8U69srXgy","1002","2"
"R_2QE9Z6yUzfYc6B1","1002","5"
"R_2iu87EjKZlvL7oZ","1002","1"
"R_2CTHzagn3VaJ958","1002","1"
"R_3ELRT8sIDJpTTlY","1002","1"
"R_2duXoCDjTxvd8xK","1002","4"
"R_1mWT3HBsWQAojVF","1002","2"
"R_1C8tjcxAOSbpT1y","1002","2"
"R_2rCxTtJnQeog2G0","1002","3"
"R_oXNyzGuph9ZZamZ","1002","2"
"R_3rG7Nbq9vRVnur7","1002","2"
"R_UmgZzuqYG2jjkBz","1002","1"
"R_3HLKA7BIZupLw3X","1002","1"
"R_3Jx5JIdlGL288Oj","1002","2"
"R_3OesjO1PoiY9QST","1002","5"
"R_3EEWmGzqhJWlhzi","1002","2"
"R_1jNUA59xUNzjtK1","1002","1"
"R_2DLHOHTzqJrU1vT","1002","4"
"R_1rxJgu1E0ZOsrLH","1002","4"
"R_81fNMrp9CG0xANr","1002","1"
"R_xgx2OlLw3Mpw7fP","1002","1"
"R_1GHy0BaUJAq4UYa","1002","4"
"R_6R1xWbLv8FtnGxT","1002","1"
"R_3Rjtj0oRwVCls6x","1002","1"
"R_1QFT5HrfpudJ4yU","1002","1"
"R_28IE38VJPPb8Trd","1002","3"
"R_2trn1sKq5ErRFkn","1002","1"
"R_3fVN4lUON6Bwhex","1002","4"
"R_OkF7ZrD1lchvumt","1002","3"
"R_28OqeTsRZryuzIE","1002","4"
"R_Rq9ydjZW0klwE3n","1002","5"
"R_3DpX8Mnmvt5k4qr","1002","3"
"R_1FRRi4tZ5xVKfAM","1002","3"
"R_2z8YkndyULVXaUG","1002","1"
"R_2aP5gcIwiQdq0JD","1002","2"
"R_z8st6kIPBLibM3v","1002","4"
"R_siZFxkSRh7uCVfH","1002","2"
"R_331QeEoEroXEAvC","1002","1"
"R_3ncnNaZJCQjlPY4","1002","2"
"R_2WZNUokNRtONhOC","1002","3"
"R_2tLpPwSNEarZgEl","1002","3"
"R_3rU6Z3linmpsW1C","1002","1"
"R_1psbpgkceeob0Rd","1002","2"
"R_5dmELiNsGQaxLEZ","1002","1"
"R_1k0uEznOuVLxpPn","1002","1"
"R_88QHBI6v39mcjQZ","1002","2"
"R_2B5KQecg7hp9PEc","1002","2"
"R_1eM1eNUcuYoFG3N","1002","5"
"R_1F5ikuin75fnDGq","1002","2"
"R_12F2fceCT0g9e5L","1002","2"
"R_3k6uDBcmBCdki1h","1002","3"
"R_3GB6VIXlgOxJbZa","1002","5"
